raw_sponsor,proposed,confidence,n_trials,review_reason,reason,channel,model_id
Gesellschaft fr Epilepsieforschung e.V.,Gesellschaft für Epilepsieforschung e.V.,0.7,1,low confidence,,mint,claude-sonnet-5
Gesellschaft fr Wissens- und Technologietransfer der TU Dresden mbH,Gesellschaft für Wissens- und Technologietransfer der TU Dresden,0.7,1,low confidence,Separate transfer GmbH,mint,claude-opus-5
"GlaxoSmithKline Research, European Medical Governance",GlaxoSmithKline,0.7,1,low confidence,,mint,claude-sonnet-5
Goodwill Pharma Kft.,Goodwill Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
Graegis Pharmaceuticals Limited,Graegis Pharmaceuticals,0.7,1,low confidence,,mint,claude-sonnet-5
Granular Therapeutics Limited,Granular Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
"Great Western Hospital, Swindon",Great Western Hospitals NHS Foundation Trust,0.7,1,low confidence,Single string referring to hospital,mint,claude-sonnet-5
"Group for the Study of Resistant Depression GSRD, Head: Prof. Julien Mendlewicz",Group for the Study of Resistant Depression (GSRD),0.7,1,low confidence,Named research network led by Prof. Julien Mendlewicz,mint,claude-sonnet-5
Group of Clinical Investigation in Radiotherapy Oncology GICOR,Group of Clinical Investigation in Radiotherapy Oncology GICOR,0.7,1,low confidence,,mint,claude-sonnet-5
Groupe dtude sur le risque dexposition des soignants aux agents infectieux GERES,Groupe d'étude sur le risque d'exposition des soignants aux agents infectieux (GERES),0.7,1,low confidence,"Single sponsor string, French research network on healthcare worker infection risk",mint,claude-sonnet-5
Grupo Espaol de Enfermedades Mieloproliferativas GEMFIN,Grupo Espanol de Enfermedades Mieloproliferativas (GEMFIN),0.7,1,low confidence,,mint,claude-sonnet-5
"Gyn.Dept, Aabenraa Hospital, Sygehus Snderjylland",Sygehus Sønderjylland,0.7,1,low confidence,Department resolves to parent hospital,mint,claude-sonnet-5
H.A.C. Pharma,H.A.C. Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
HERMAL Kurt Herrmann GmbH  Co OHG,Hermal Kurt Herrmann,0.7,1,low confidence,Legacy German company later Almirall Hermal; kept separate as it trades under own name,mint,claude-opus-5
HMNC Holding GmbH,HMNC,0.7,1,low confidence,Both appear related to the HMNC group (Holsboer Maschmeyer NeuroChemie).,mint,claude-sonnet-5
HOSPITAL DE PALAMS,Hospital de Palamos,0.7,1,low confidence,,mint,claude-sonnet-5
"HUS, Hospital for Children and Adolescents","HUS, Hospital for Children and Adolescents",0.7,1,low confidence,"Same institution, second entry lacks HUS prefix but likely refers to same hospital",mint,claude-sonnet-5
"HUS, Korvaklinikka",Helsingin ja Uudenmaan sairaanhoitopiiri (HUS),0.7,1,low confidence,,mint,claude-sonnet-5
"HUS, Leikkaus- ja anestesiaosasto",Helsingin ja Uudenmaan sairaanhoitopiiri (HUS),0.7,1,low confidence,Department of surgery/anaesthesia resolves to parent hospital district HUS,mint,claude-sonnet-5
HUS/ Neuropsykiatrian poliklinikka,Helsingin ja Uudenmaan sairaanhoitopiiri (HUS),0.7,1,low confidence,HUS is Helsinki University Hospital district; Neuropsykiatrian poliklinikka is a department resolving to the parent institution.,mint,claude-sonnet-5
HYD Pharma Zrt.,HYD Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
Hanna Pitknen,Hanna Pitkanen,0.7,1,low confidence,,mint,claude-sonnet-5
Hannover Medical School Competence Network Viral Hepatitis Hep-Net,Medizinische Hochschule Hannover,0.7,1,low confidence,,mint,claude-sonnet-5
Hctor Guiral Torner,Hector Guiral Torner,0.7,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
Helle Holst,Helle Holst,0.7,1,low confidence,,mint,claude-sonnet-5
Hemerion Therapeutics,Hemerion Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Hepatera LLC,Hepatera LLC,0.7,1,low confidence,,mint,claude-sonnet-5
Hermal Kurt Herrmann GmbH  Co OHG,Hermal Kurt Herrmann,0.7,1,low confidence,Legacy German company later Almirall Hermal; kept separate as it trades under own name,mint,claude-opus-5
Hermal Kurt Herrmann GmbH  Co. OHG,Hermal Kurt Herrmann,0.7,1,low confidence,Legacy German company later Almirall Hermal; kept separate as it trades under own name,mint,claude-opus-5
Hertfordshire Partnership University NHS Foundation Trust / University of Hertfordshire,Hertfordshire Partnership University NHS Foundation Trust,0.7,1,low confidence,joint with University of Hertfordshire but distinct trust,mint,claude-sonnet-5
"Hmatologisk Afdeling, Sjlland Sygehus, Roskilde",Sjællands Sygehus,0.7,1,low confidence,"Department (Hæmatologisk Afdeling) resolves to parent hospital Sjællands Sygehus, Roskilde.",mint,claude-sonnet-5
HolsboerMaschmeyer NeuroChemie HMNC GmbH,HMNC,0.7,1,low confidence,Both appear related to the HMNC group (Holsboer Maschmeyer NeuroChemie).,mint,claude-sonnet-5
Hospital Arnau de Vilanova - Lliria,Hospital Arnau de Vilanova - Lliria,0.7,1,low confidence,,mint,claude-sonnet-5
Hospital Center ren Dubos,Centre Hospitalier Rene Dubos,0.7,1,low confidence,"Likely garbled OCR of 'Hopital/Centre Hospitalier Rene Dubos', a French hospital.",mint,claude-sonnet-5
Hospital General de LHospitalet,Hospital General de L'Hospitalet,0.7,1,low confidence,,mint,claude-sonnet-5
Hospital Trebic,Hospital Trebic,0.7,1,low confidence,,mint,claude-sonnet-5
Hospital Universitario Son Lltzer,Hospital Universitari Son Espases,0.7,1,low confidence,,mint,claude-sonnet-5
Hospital for Children and Adolescents,"HUS, Hospital for Children and Adolescents",0.7,1,low confidence,"Same institution, second entry lacks HUS prefix but likely refers to same hospital",mint,claude-sonnet-5
Hospital of Goethe-Universitiy,Goethe-Universität Frankfurt,0.7,1,low confidence,University hospital affiliated with Goethe University Frankfurt,mint,claude-sonnet-5
Hvidore Hospital,Hvidovre Hospital,0.7,1,low confidence,,mint,claude-sonnet-5
I.N.M. NEUROMED I.R.C.C.S. S.R.L. GIA SANATRIX,IRCCS Neuromed,0.7,1,low confidence,,mint,claude-sonnet-5
IGI Therapeutics S.A.,IGI Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
"INSTITUTO VALENCIANO DE INFERTILIDADE - CLNICA DE REPRODUO ASSISTIDA, LDA",Instituto Valenciano de Infertilidad,0.7,1,low confidence,,mint,claude-sonnet-5
IPOLFG,Instituto Portugues de Oncologia de Lisboa Francisco Gentil,0.7,1,low confidence,,mint,claude-sonnet-5
ITM Oncologics GmbH,ITM Oncologics,0.7,1,low confidence,,mint,claude-sonnet-5
IUCPQ,Institut universitaire de cardiologie et de pneumologie de Québec,0.7,1,low confidence,,mint,claude-sonnet-5
IVIRMA MADRID,IVIRMA Madrid,0.7,1,low confidence,,mint,claude-sonnet-5
Ibermutuamur Mutua Colaboradora con la Seguridad Social n 274,Ibermutuamur,0.7,1,low confidence,,mint,claude-sonnet-5
Iecure Inc.,iEcure,0.7,1,low confidence,,mint,claude-sonnet-5
Igyxos,Igyxos,0.7,1,low confidence,,mint,claude-sonnet-5
Ilkogen Ilac San. ve Tic. A.S.,Ilko Ilac,0.7,1,low confidence,,mint,claude-sonnet-5
Immunabs Inc.,Immunabs,0.7,1,low confidence,,mint,claude-sonnet-5
Inhatarget Therapeutics,Inhatarget Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Initiator Pharma,Initiator Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
Institut Sainte Catherine,Institut Sainte Catherine,0.7,1,low confidence,,mint,claude-sonnet-5
Institut fr klinische Forschung und Entwicklung Berlin GmbH am St. Hedwig Krankenhaus,Institut für klinische Forschung und Entwicklung Berlin,0.7,1,low confidence,,mint,claude-opus-5
Institute od Rheumatology Prague,Institute of Rheumatology Prague,0.7,1,low confidence,,mint,claude-sonnet-5
"Institute of Anaesthesiology, German Heart Centre",Deutsches Herzzentrum Berlin,0.7,1,low confidence,,mint,claude-sonnet-5
Institute of Diabetes Gerhardt Katsch,Institute of Diabetes Gerhardt Katsch,0.7,1,low confidence,"Single standalone research institute name, no further grouping info.",mint,claude-sonnet-5
Institute of Health and Biomedical Research of Alicante,Institute of Health and Biomedical Research of Alicante,0.7,1,low confidence,,mint,claude-sonnet-5
Instituto de Medicina Molecular,Instituto de Medicina Molecular,0.7,1,low confidence,,mint,claude-sonnet-5
Instituto de Sade Pblica Universidade Porto,Instituto de Saude Publica da Universidade do Porto,0.7,1,low confidence,,mint,claude-sonnet-5
Insusense ApS / Insusense ApS,Insusense,0.7,1,low confidence,,mint,claude-sonnet-5
"Intern grantov agentura, Ministerstvo zdravotnictv R",Ministerstvo zdravotnictvi CR,0.7,1,low confidence,,mint,claude-sonnet-5
International CTEPH Association ICA,International CTEPH Association,0.7,1,low confidence,Single organisation name provided,mint,claude-sonnet-5
JOAQUIN PORTILLA,Joaquin Portilla,0.7,1,low confidence,,mint,claude-sonnet-5
JOS ANTONIO SERRANO TRENAS,Jose Antonio Serrano Trenas,0.7,1,low confidence,,mint,claude-sonnet-5
Jakob Benedict Seidelin,Jakob Benedict Seidelin,0.7,1,low confidence,Single string appears to be a personal name with no institutional affiliation given.,mint,claude-sonnet-5
Jess Villar Hernndez,Jesus Villar Hernandez,0.7,1,low confidence,,mint,claude-sonnet-5
"Johan Wolfgang Goethe Universitt - Department of Internal medicine I, Division Endocrinology",Goethe-Universität Frankfurt,0.7,1,low confidence,,mint,claude-sonnet-5
Johannes Gutenberg-Universitt,Johannes Gutenberg-Universität Mainz,0.7,1,low confidence,"University itself, distinct from its medical center",mint,claude-opus-5
Jos Alberto San Romn Calvar,Jose Alberto San Roman Calvar,0.7,1,low confidence,,mint,claude-sonnet-5
Jos Esteban Castelao Fernndez,Jose Esteban Castelao Fernandez,0.7,1,low confidence,,mint,claude-sonnet-5
Jos Luis Vzquez Martnez,Jose Luis Vazquez Martinez,0.7,1,low confidence,,mint,claude-sonnet-5
Jos Such Ronda,Jos Such Ronda,0.7,1,low confidence,,mint,claude-sonnet-5
Jose Alberola-Rubio,Jose Alberola-Rubio,0.7,1,low confidence,,mint,claude-sonnet-5
Jose Carlos Flores Gonzlez,Jose Carlos Flores Gonzalez,0.7,1,low confidence,"Single person name, no institution mentioned.",mint,claude-sonnet-5
Juan Cordoba,Juan Cordoba,0.7,1,low confidence,"Appears to be a person's name, not an institution.",mint,claude-sonnet-5
Julius Maximilians Universitt Wrzburg,Julius-Maximilians-Universität Würzburg,0.7,1,low confidence,"University-affiliated, distinct from the hospital",mint,claude-sonnet-5
Julius-Maximilian University of Wrzburg,Julius-Maximilians-Universität Würzburg,0.7,1,low confidence,"University-affiliated, distinct from the hospital",mint,claude-sonnet-5
K-Group Beta,K-Group Beta,0.7,1,low confidence,,mint,claude-sonnet-5
KA Rudolfstiftung - 2. Medizinische Abteilung,Krankenanstalt Rudolfstiftung,0.7,1,low confidence,Department resolves to parent hospital,mint,claude-sonnet-5
"KONSTANTINAS POVILAS VALUCKAS, INSTITUTE OF ONCOLOGY OF VILNIUS UNIVERSITY","Institute of Oncology, Vilnius University",0.7,1,low confidence,Named person listed with institution; institution treated as canonical organisation.,mint,claude-sonnet-5
Kalevi Pihlajamki,Kalevi Pihlajamäki,0.7,1,low confidence,"Appears to be a personal name, not an organisation.",mint,claude-sonnet-5
Kansanterveyslaitos,Kansanterveyslaitos,0.7,1,low confidence,"Finnish National Public Health Institute, a public body",mint,claude-sonnet-5
Kari T. Kivist,Kari T. Kivistö,0.7,1,low confidence,"Single personal name, no institution given",mint,claude-sonnet-5
Kell Osterlind,Kell Osterlind,0.7,1,low confidence,"Appears to be a person's name, not an institution",mint,claude-sonnet-5
King Christian 10th Hospital for Rheumatology,King Christian 10th Hospital for Rheumatology,0.7,1,low confidence,,mint,claude-sonnet-5
Kinnov Therapeutics,Kinnov Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Kirsi Pietilinen,Kirsi Pietilainen,0.7,1,low confidence,"Single string appears to be a personal name, not an institution.",mint,claude-sonnet-5
"Kirurgisk Forskningsafsnit, Herning Sygehus",Herning Hospital,0.7,1,low confidence,Department resolves to parent hospital Herning Sygehus,mint,claude-sonnet-5
Klear Bio Inc.,Klear Bio,0.7,1,low confidence,,mint,claude-sonnet-5
"Klinikum Grohadern, ENT-Department",Klinikum Grosshadern,0.7,1,low confidence,Department resolves to parent hospital Klinikum Grosshadern (Munich).,mint,claude-sonnet-5
Kneipp-Werke,Kneipp-Werke,0.7,1,low confidence,,mint,claude-sonnet-5
"Knud Kragballe, Dermatological Department, rhus Sygehus Hospital",Aarhus Sygehus Hospital,0.7,1,low confidence,Named individual (Knud Kragballe) is associated with dermatology department of Aarhus Sygehus Hospital; institution is the resolving organisation.,mint,claude-sonnet-5
Koege Hospital,Koege Hospital,0.7,1,low confidence,"Single occurrence, appears to be a hospital sponsor.",mint,claude-sonnet-5
LABORATOIRE ALLERBIO,Laboratoire Allerbio,0.7,1,low confidence,,mint,claude-sonnet-5
LAINCO S.A,Lainco,0.7,1,low confidence,,mint,claude-sonnet-5
LG Chem Ltd.,LG Chem,0.7,1,low confidence,"separate LG entity, no BioPartners mention",mint,claude-sonnet-5
"LOTUS PHARMA CO., LTD.",Lotus Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
LTB4 Sweden AB,LTB4 Sweden AB,0.7,1,low confidence,,mint,claude-sonnet-5
LYOCENTRE,Lyocentre,0.7,1,low confidence,,mint,claude-sonnet-5
Laboratoire BAILLY-CREAT,Laboratoire Bailly-Creat,0.7,1,low confidence,,mint,claude-sonnet-5
Laboratoires BIORGA,Laboratoires BIORGA,0.7,1,low confidence,,mint,claude-sonnet-5
Laboratoires Leurquin Mediolanum S.A.S.,Mediolanum Farmaceutici,0.7,1,low confidence,,mint,claude-sonnet-5
Laboratorios Andrmaco S.A.,Laboratorios Andromaco,0.7,1,low confidence,,mint,claude-sonnet-5
Laboratorios Novag S.A.,Novag,0.7,1,low confidence,"Both refer to Novag S.A., with the second indicating its association with Ferrer Grupo.",mint,claude-sonnet-5
"Laboratorios Rubi, S.A.",Laboratorios Rubio,0.7,1,low confidence,,mint,claude-sonnet-5
Lamina Therapeutics,Lamina Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Landstinget Dalarna,Region Dalarna,0.7,1,low confidence,Landstinget Dalarna was renamed Region Dalarna; same county public body,mint,claude-sonnet-5
Landstinget Gvleborg,Landstinget Gävleborg,0.7,1,low confidence,,mint,claude-sonnet-5
Leyden Laboratories B.V.,Leyden Laboratories,0.7,1,low confidence,,mint,claude-sonnet-5
Life Recovery Systems,Life Recovery Systems,0.7,1,low confidence,,mint,claude-sonnet-5
Linde Gas Therapeutics,Linde Gas Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Lipid Pharmaceuticals ehf / Lsi hf,Lipid Pharmaceuticals,0.7,1,low confidence,,mint,claude-opus-5
Liveome Inc.,Liveome,0.7,1,low confidence,,mint,claude-sonnet-5
"Liver Unit, ICMD, Hospital Clinic Barcelona",Hospital Clínic de Barcelona,0.7,1,low confidence,,mint,claude-sonnet-5
Llus Cabero Roura,Lluís Cabero Roura,0.7,1,low confidence,"Appears to be a named individual, not an organisation.",mint,claude-sonnet-5
Lmito Therapeutics Inc.,Lmito Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Ludwig Boltzmann Gesellschaft,Ludwig Boltzmann Gesellschaft,0.7,1,low confidence,,mint,claude-sonnet-5
Lunamed Operations AG,Lunamed,0.7,1,low confidence,,mint,claude-sonnet-5
M Isabel Fernndez Garca,M Isabel Fernández García,0.7,1,low confidence,,mint,claude-sonnet-5
MAR ESPINO HERNANDEZ,Mar Espino Hernández,0.7,1,low confidence,,mint,claude-opus-5
MAROS Arzneimittel GmbH,MAROS Arzneimittel,0.7,1,low confidence,,mint,claude-sonnet-5
MCM Vaccine B.V.,MCM Vaccine,0.7,1,low confidence,,mint,claude-sonnet-5
MEDIOLANUM FARMACEUTICI S.P.A.,Mediolanum Farmaceutici,0.7,1,low confidence,,mint,claude-sonnet-5
MSE Pharmazeutika GmbH,MSE Pharmazeutika,0.7,1,low confidence,,mint,claude-sonnet-5
MUC Research GmbH,MUC Research,0.7,1,low confidence,,mint,claude-sonnet-5
"Malm Hgskola, Odontologiska fakulteten","Malmö Högskola, Odontologiska fakulteten",0.7,1,low confidence,"Single occurrence; academic faculty institution, accents restored",mint,claude-sonnet-5
Malm University Hospital,Malmo University Hospital,0.7,1,low confidence,,mint,claude-sonnet-5
"Malm University Hospital, Dep of Radiology",Malmo University Hospital,0.7,1,low confidence,Department resolves to parent hospital; accents restored,mint,claude-sonnet-5
"Malm University, Faculty of Odontology","Malmö Högskola, Odontologiska fakulteten",0.7,1,low confidence,"Single string, academic institution with accents restored",mint,claude-sonnet-5
Manuel Maca Cortias,Manuel Maca Cortias,0.7,1,low confidence,,mint,claude-sonnet-5
Manuel Praga Terente,Manuel Praga Terente,0.7,1,low confidence,,mint,claude-sonnet-5
Mara de los ngeles Tena Pajuelo Investigador independiente,Maria de los Angeles Tena Pajuelo,0.7,1,low confidence,Named individual investigator,mint,claude-sonnet-5
Marc Miratvilles,Marc Miravitlles,0.7,1,low confidence,"Single string identifying a named individual, not an organisation.",mint,claude-sonnet-5
Maria Nabal Vicua Paliative Care Supportive Team-Hospital Universitari Arnau de Vilanova de Lleida,Hospital Universitari Arnau de Vilanova de Lleida,0.7,1,low confidence,Department/team resolves to parent hospital,mint,claude-sonnet-5
Marvel Life Sciences Limited,Marvel Life Sciences,0.7,1,low confidence,,mint,claude-sonnet-5
Mater Misercordiae Hospital - Department of Anaesthesia,Mater Misericordiae University Hospital,0.7,1,low confidence,Department of Anaesthesia resolves to parent hospital,mint,claude-sonnet-5
Mater Research Institute University of Queensland,Mater Research Institute,0.7,1,low confidence,,mint,claude-sonnet-5
Matter Misericoridiae University Hospital. Dubln,Mater Misericordiae University Hospital,0.7,1,low confidence,"Single sponsor string, likely misspelled 'Mater Misericordiae University Hospital, Dublin'",mint,claude-sonnet-5
MedaPharma,Meda,0.7,1,low confidence,,mint,claude-sonnet-5
Medical Institutions of the District Oberpfalz/Bayern MedBO GmbH,Medical Institutions of the District Oberpfalz/Bayern MedBO GmbH,0.7,1,low confidence,,mint,claude-sonnet-5
"Medical Research Laboratory, Clinical institute of Medicine, Aarhus University Hospital",Aarhus Universitetshospital,0.7,1,low confidence,Department resolves to parent hospital,mint,claude-sonnet-5
"Medical Sciences, Akademiska sjukhuset",Akademiska sjukhuset,0.7,1,low confidence,Department resolves to parent hospital,mint,claude-sonnet-5
Medical University Vienna Division of Anesthesie and Pain Management,Medizinische Universität Wien,0.7,1,low confidence,"All refer to departments of Anaesthesia/Intensive Care/Pain Management at Medical University of Vienna, department resolves to parent institution",mint,claude-sonnet-5
"Medical University Vienna, Department of Anesthesia, Intensive Care Medicine and Pain Management",Medizinische Universität Wien,0.7,1,low confidence,"All refer to departments of Anaesthesia/Intensive Care/Pain Management at Medical University of Vienna, department resolves to parent institution",mint,claude-sonnet-5
"Medical University Vienna, Department of Medicine III",Medizinische Universität Wien,0.7,1,low confidence,,mint,claude-sonnet-5
"Medical University of Vienna, Department of Anaesthesia, General Critical Care and Pain Management",Medizinische Universität Wien,0.7,1,low confidence,"All refer to departments of Anaesthesia/Intensive Care/Pain Management at Medical University of Vienna, department resolves to parent institution",mint,claude-sonnet-5
"Medical University of Vienna, Department of Anaesthesia, General Intensive Care and Pain Management",Medizinische Universität Wien,0.7,1,low confidence,"All refer to departments of Anaesthesia/Intensive Care/Pain Management at Medical University of Vienna, department resolves to parent institution",mint,claude-sonnet-5
"Medical University of Vienna, Department of Anesthesia, Intensive Care Medicine and Pain Medicine",Medizinische Universität Wien,0.7,1,low confidence,"All refer to departments of Anaesthesia/Intensive Care/Pain Management at Medical University of Vienna, department resolves to parent institution",mint,claude-sonnet-5
"Medicinsk Afd. M, rhus Sygehus, Nrrebrogade",Aarhus Sygehus,0.7,1,low confidence,Department resolves to parent hospital Aarhus Sygehus,mint,claude-sonnet-5
Medivis S.r.l.,Medivis,0.7,1,low confidence,,mint,claude-sonnet-5
Medizinische Einrichtungen des Bezirks Oberpfalz GmbH,Medizinische Einrichtungen des Bezirks Oberpfalz,0.7,1,low confidence,,mint,claude-sonnet-5
"Medizinische Klinik B, Herzzentrum Ludwigshafen",Klinikum Ludwigshafen,0.7,1,low confidence,Department of anesthesiology and cardiology center both resolve to Klinikum Ludwigshafen,mint,claude-sonnet-5
"Medizinische Universitt Graz, Univ. Klinik fr Ansthesiologie und Intensivmedizin, Abt. Ansthesie und Intensivmedizin",Medizinische Universität Graz,0.7,1,low confidence,Department resolves to parent university,mint,claude-sonnet-5
Medsenic,Medsenic,0.7,1,low confidence,,mint,claude-sonnet-5
Menarini IFR  International Division,Menarini,0.7,1,low confidence,,mint,claude-sonnet-5
MiNA Alpha Limited,MiNA Alpha Limited,0.7,1,low confidence,,mint,claude-sonnet-5
MicroCHIPS,MicroCHIPS,0.7,1,low confidence,,mint,claude-sonnet-5
Mikko Hippelinen / Mikko Hippelinen,Mikko Hippelinen,0.7,1,low confidence,,mint,claude-sonnet-5
"Military Medical Academy Hospital for Active Treatment, Sofia","Military Medical Academy Hospital for Active Treatment, Sofia",0.7,1,low confidence,,mint,claude-sonnet-5
Mimer Medical AB,Mimer Medical,0.7,1,low confidence,,mint,claude-sonnet-5
Mitochon Pharmaceuticals Inc.,Mitochon Pharmaceuticals,0.7,1,low confidence,Mitochon Technologies Kft. appears to be a subsidiary/related entity of Mitochon Pharmaceuticals Inc.,mint,claude-sonnet-5
Mitochon Technologies Kft.,Mitochon Pharmaceuticals,0.7,1,low confidence,Mitochon Technologies Kft. appears to be a subsidiary/related entity of Mitochon Pharmaceuticals Inc.,mint,claude-sonnet-5
Mnica Saldaa Valderas,Mónica Saldaña Valderas,0.7,1,low confidence,"Personal name, not an organisation",mint,claude-sonnet-5
ModigeneTech Ltd.,ModigeneTech,0.7,1,low confidence,,mint,claude-sonnet-5
Molefy Pharma S.L.,Molefy Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
Mximo Bernabeu Wittel,Maximo Bernabeu Wittel,0.7,1,low confidence,,mint,claude-sonnet-5
Mximo Vento Torres,Maximo Vento Torres,0.7,1,low confidence,,mint,claude-sonnet-5
NAICONS Srl.,NAICONS,0.7,1,low confidence,,mint,claude-sonnet-5
NATHURA SRL,Nathura,0.7,1,low confidence,,mint,claude-sonnet-5
NBCD A/S,NBCD,0.7,1,low confidence,,mint,claude-sonnet-5
"NHS Greater Glasgow, Yorkhill",NHS Greater Glasgow and Clyde,0.7,1,low confidence,,mint,claude-sonnet-5
"NOVAG S.A., FERRER GRUPO",Novag,0.7,1,low confidence,"Both refer to Novag S.A., with the second indicating its association with Ferrer Grupo.",mint,claude-sonnet-5
"NU-sjukvrden, Norra lvsborgs Lnssjukhus","NU-sjukvården, Norra Älvsborgs Länssjukhus",0.7,1,low confidence,,mint,claude-sonnet-5
NUIG,National University of Ireland Galway,0.7,1,low confidence,"NUIG is the common abbreviation for National University of Ireland, Galway",mint,claude-sonnet-5
NUMICO RESEARCH BV,Numico Research,0.7,1,low confidence,,mint,claude-sonnet-5
Napo Pharmaceuticals Inc.,Napo,0.7,1,low confidence,,mint,claude-sonnet-5
Napo Therapeutics S.p.A.,Napo,0.7,1,low confidence,,mint,claude-sonnet-5
"National Cancer Institute Naples, Italy",National Cancer Institute Naples,0.7,1,low confidence,"Single institution, likely Istituto Nazionale Tumori Fondazione Pascale in Naples, Italy.",mint,claude-sonnet-5
National Center for Cancer Immune Therapy,Center for Cancer Immune Therapy,0.7,1,low confidence,"Same organization, variants including national/CCIT-DK abbreviation",mint,claude-sonnet-5
National Center for Cancer Immune Therapy CCIT-DK,Center for Cancer Immune Therapy,0.7,1,low confidence,"Same organization, variants including national/CCIT-DK abbreviation",mint,claude-sonnet-5
National Institute of Mental Health,National Institute of Mental Health,0.7,1,low confidence,,mint,claude-opus-5
Natural Pharma International Npi AB,Natural Pharma International,0.7,1,low confidence,,mint,claude-sonnet-5
Navad Life Sciences Pte Ltd,Navad Life Sciences,0.7,1,low confidence,,mint,claude-sonnet-5
Navigator Medicines Inc.,Navigator Medicines,0.7,1,low confidence,,mint,claude-sonnet-5
Nec Oncoimmunity AS,NEC OncoImmunity,0.7,1,low confidence,,mint,claude-sonnet-5
Nederlandse Obesitas Kliniek,Nederlandse Obesitas Kliniek,0.7,1,low confidence,,mint,claude-sonnet-5
Nederlandse Vereniging van Artsen voor longziekten en Tuberculose,Nederlandse Vereniging van Artsen voor Longziekten en Tuberculose,0.7,1,low confidence,,mint,claude-sonnet-5
Nektr Technologies,Nektar Therapeutics,0.7,1,low confidence,"Likely misspelling of Nektar Technologies, now Nektar Therapeutics",mint,claude-sonnet-5
Neo Vista Inc.,Neo Vista,0.7,1,low confidence,,mint,claude-sonnet-5
Neocutis,Neocutis,0.7,1,low confidence,,mint,claude-sonnet-5
NephroGenex,NephroGenex,0.7,1,low confidence,,mint,claude-sonnet-5
"NeuroVia, Inc.",NeuroVia,0.7,1,low confidence,,mint,claude-sonnet-5
"Neuromuscular Research Unit, Copenhagen University Hospital Rigshopspitalet",Copenhagen Neuromuscular Center,0.7,1,low confidence,"Same neuromuscular research unit at Rigshospitalet, Copenhagen University Hospital",mint,claude-sonnet-5
"Neuromuscular Research Unit, Rigshospitalet",Copenhagen Neuromuscular Center,0.7,1,low confidence,"Same neuromuscular research unit at Rigshospitalet, Copenhagen University Hospital",mint,claude-sonnet-5
Nexbiome Therapeutics,Nexbiome Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Nicasio Prez Castellano,Nicasio Pérez Castellano,0.7,1,low confidence,"Single personal name, no institution given",mint,claude-sonnet-5
Niels Bang,Niels Bang,0.7,1,low confidence,"Appears to be a person's name, not an organisation.",mint,claude-sonnet-5
Ningbo Newbay Technology Development Co. Ltd.,Ningbo Newbay Technology Development,0.7,1,low confidence,,mint,claude-sonnet-5
Niuvanniemen sairaala,Niuvanniemen sairaala,0.7,1,low confidence,,mint,claude-sonnet-5
Niuvannniemi Hospital,Niuvanniemi Hospital,0.7,1,low confidence,,mint,claude-sonnet-5
Noora Kaartinen / Noora Kaartinen,Noora Kaartinen,0.7,1,low confidence,"Single personal name, no institution given",mint,claude-sonnet-5
NovalGen Ltd,NovalGen,0.7,1,low confidence,,mint,claude-sonnet-5
Novespace,Novespace,0.7,1,low confidence,,mint,claude-sonnet-5
Nsc Therapeutics GmbH,Nsc Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
Nucleus Medical GmbH,Nucleus Medical,0.7,1,low confidence,,mint,claude-sonnet-5
Nutricin Medica S.L.,Nutricion Medica S.L.,0.7,1,low confidence,,mint,claude-sonnet-5
OBEcure,OBEcure,0.7,1,low confidence,,mint,claude-sonnet-5
OLV-ziekenhuis,OLV Ziekenhuis,0.7,1,low confidence,,mint,claude-sonnet-5
OMEQUI coordinator,OMEQUI,0.7,1,low confidence,Same organization/coordinator entity,mint,claude-sonnet-5
OPTERION Health AG,Opterion Health,0.7,1,low confidence,,mint,claude-sonnet-5
ORPHANETICS Pharma Entwicklungs- GmbH,ORPHANETICS Pharma Entwicklungs,0.7,1,low confidence,,mint,claude-sonnet-5
ORPHELIA Pharma,ORPHELIA Pharma,0.7,1,low confidence,,mint,claude-sonnet-5
OSPEDALE G.PASQUINUCCI-FONDAZIONE G.MONASTERIO,Fondazione Toscana Gabriele Monasterio,0.7,1,low confidence,,mint,claude-sonnet-5
Omikron Italia S.r.l.,Omikron Italia,0.7,1,low confidence,,mint,claude-sonnet-5
Oncobiologics Limited,Oncobiologics,0.7,1,low confidence,,mint,claude-sonnet-5
Onward Therapeutics France,Onward Therapeutics,0.7,1,low confidence,,mint,claude-sonnet-5
